text,label
go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,ham
ok lar joking wif u oni,ham
free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry questionstd txt ratetcs apply over,spam
u dun say so early hor u c already then say,ham
nah i dont think he go to usf he life around here though,ham
freemsg hey there darling it been week now and no word back id like some fun you up for it still tb ok xxx std chgs to send to rcv,spam
even my brother is not like to speak with me they treat me like aid patent,ham
a per your request melle melle oru minnaminunginte nurungu vettam ha been set a your callertune for all caller press to copy your friend callertune,ham
winner a a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hour only,spam
had your mobile month or more u r entitled to update to the latest colour mobile with camera for free call the mobile update co free on,spam
im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,ham
six chance to win cash from to pound txt csh and send to cost pday day tsandcs apply reply hl info,spam
urgent you have won a week free membership in our prize jackpot txt the word claim to no tc wwwdbuknet lccltd pobox ldnwarw,spam
ive been searching for the right word to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all time,ham
i have a date on sunday with will,ham
xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,spam
oh kim watching here,ham
eh u remember how spell his name yes i did he v naughty make until i v wet,ham
fine if thats the way u feel thats the way it gota b,ham
england v macedonia dont miss the goalsteam news txt ur national team to eg england to trywales scotland txt poboxoxwwq,spam
is that seriously how you spell his name,ham
im going to try for month ha ha only joking,ham
so pay first lar then when is da stock comin,ham
aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,ham
ffffffffff alright no way i can meet up with you sooner,ham
just forced myself to eat a slice im really not hungry tho this suck mark is getting worried he know im sick when i turn down pizza lol,ham
lol your always so convincing,ham
did you catch the bus are you frying an egg did you make a tea are you eating your mom left over dinner do you feel my love,ham
im back amp were packing the car now ill let you know if there room,ham
ahhh work i vaguely remember that what doe it feel like lol,ham
wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with u,ham
yeah he got in at and wa v apologetic n had fallen out and she wa actin like spoilt child and he got caught up in that till but we wont go there not doing too badly cheer you,ham
k tell me anything about you,ham
for fear of fainting with the of all that housework you just did quick have a cuppa,ham
thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged reward lottery,spam
yup ok i go home look at the timing then i msg again xuhui going to learn on nd may too but her lesson is at am,ham
oops ill let you know when my roommate done,ham
i see the letter b on my car,ham
anything lor u decide,ham
hello hows you and how did saturday go i wa just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,ham
pls go ahead with watt i just wanted to be sure do have a great weekend abiola,ham
did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,ham
rodger burn msg we tried to call you re your reply to our sm for a free nokia mobile free camcorder please call now for delivery tomorrow,spam
who are you seeing,ham
great i hope you like your man well endowed i am ltgt inch,ham
no callsmessagesmissed call,ham
didnt you get hep b immunisation in nigeria,ham
fair enough anything going on,ham
yeah hopefully if tyler cant do it i could maybe ask around a bit,ham
u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospital are for weak sucker,ham
what you thinked about me first time you saw me in class,ham
a gram usually run like ltgt a half eighth is smarter though and get you almost a whole second gram for ltgt,ham
k fyi x ha a ride early tomorrow morning but he crashing at our place tonight,ham
wow i never realized that you were so embarassed by your accomodations i thought you liked it since i wa doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room wa so embarassing,ham
sm ac sptv the new jersey devil and the detroit red wing play ice hockey correct or incorrect end reply end sptv,spam
do you know what mallika sherawat did yesterday find out now lturlgt,ham
congrats year special cinema pas for is yours call now c suprman v matrix starwars etc all free bxipwe pm dont miss out,spam
sorry ill call later in meeting,ham
tell where you reached,ham
yesgauti and sehwag out of odi series,ham
your gonna have to pick up a burger for yourself on your way home i cant even move pain is killing me,ham
ha ha ha good joke girl are situation seeker,ham
it a part of checking iq,ham
sorry my roommate took forever it ok if i come by now,ham
ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,ham
a a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call,spam
today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,ham
urgent ur awarded a complimentary trip to eurodisinc trav acoentry or to claim txt dis to morefrmmob shracomorsglsuplt l aj,spam
did you hear about the new divorce barbie it come with all of ken stuff,spam
i plane to give on this month end,ham
wah lucky man then can save money hee,ham
finished class where are you,ham
hi babe im at home now wanna do something xx,ham
kkwhere are youhow did you performed,ham
u can call me now,ham
i am waiting machan call me once you free,ham
thats cool i am a gentleman and will treat you with dignity and respect,ham
i like you people very much but am very shy pa,ham
doe not operate after ltgt or what,ham
it not the same here still looking for a job how much do ta earn there,ham
sorry ill call later,ham
k did you call me just now ah,ham
ok i am on the way to home hi hi,ham
you will be in the place of that man,ham
yup next stop,ham
i call you later dont have network if urgnt sm me,ham
for real when u getting on yo i only need more ticket and one more jacket and im done i already used all my multis,ham
yes i started to send request to make it but pain came back so im back in bed double coin at the factory too i gotta cash in all my nitros,ham
im really not up to it still tonight babe,ham
ela kanoil download come wen ur free,ham
yeah do dont stand to close tho youll catch something,ham
sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that mean i havent done any of y stuffmoro and that includes all my time sheet and that sorry,ham
smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurt u smile becoz someone still love to see u smiling,ham
please call our customer service representative on between ampm a you have won a guaranteed cash or prize,spam
havent planning to buy later i check already lido only got show in e afternoon u finish work already,ham
your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml,spam
watching telugu moviewat abt u,ham
i see when we finish we have load of loan to pay,ham
hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdresser appointment at four so need to get home n shower beforehand doe that cause prob for u ham,ham
please dont text me anymore i have nothing else to say,ham
okay name ur price a long a it legal wen can i pick them up y u ave x am xx,ham
